,City Name,Temperature,Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
0,avarua,78.8,-21.21,-159.78,78.0,75,9.17
1,saldanha,48.05,41.42,-6.55,68.0,0,9.17
2,mataura,52.37,-46.19,168.86,69.0,8,15.21
3,broome,45.93,52.47,1.45,76.0,0,9.17
5,grinnell,55.67,41.74,-92.72,96.0,90,8.05
6,constitucion,71.6,23.99,-104.67,43.0,90,14.99
7,noumea,80.6,-22.28,166.46,57.0,0,9.17
9,albany,57.9,42.65,-73.75,90.0,90,5.82
10,kruisfontein,63.53,-34.0,24.73,86.0,0,13.2
11,catemaco,86.0,18.42,-95.11,66.0,40,11.41
12,manacapuru,84.0,-3.3,-60.62,69.0,0,2.91
13,kapaa,83.43,22.08,-159.32,74.0,20,14.99
14,kodiak,60.8,39.95,-94.76,100.0,90,5.82
15,iqaluit,28.4,63.75,-68.52,79.0,90,9.17
16,ushuaia,39.2,-54.81,-68.31,60.0,40,17.22
17,faro,66.2,37.02,-7.94,48.0,0,8.05
18,ixtapa,86.0,20.71,-105.21,70.0,75,6.93
19,kautokeino,18.71,69.01,23.04,92.0,0,4.59
21,hare bay,39.2,48.86,-53.99,93.0,90,8.05
22,shellbrook,37.4,53.22,-106.39,74.0,90,10.29
23,hami,40.17,42.84,93.51,49.0,0,8.5
25,prince rupert,51.8,54.32,-130.32,100.0,90,2.24
26,hermanus,53.27,-34.42,19.24,92.0,0,3.8
27,teguldet,47.51,57.31,88.17,72.0,0,6.93
28,nazarovo,44.45,56.01,90.42,73.0,0,8.28
29,ziro,51.83,27.54,93.82,96.0,8,1.57
30,punta gorda,82.96,26.93,-82.05,74.0,40,11.41
31,kavaratti,76.62,10.57,72.64,100.0,92,3.13
32,tuktoyaktuk,30.2,69.44,-133.03,68.0,5,12.75
33,east london,69.69,-33.02,27.91,100.0,36,24.94
34,hilo,71.42,19.71,-155.08,87.0,90,6.93
36,luderitz,66.95,-26.65,15.16,65.0,24,10.74
37,punta arenas,41.0,-53.16,-70.91,65.0,40,10.29
38,mogadishu,78.47,2.04,45.34,100.0,56,15.99
39,berezovyy,40.62,51.67,135.7,98.0,92,3.13
40,shache,39.86,38.42,77.24,75.0,0,3.58
41,ponta do sol,66.86,-20.63,-46.0,96.0,68,4.59
43,matagami,67.13,9.67,8.4,93.0,36,3.36
44,ancud,49.76,-41.87,-73.83,96.0,92,10.96
45,mahebourg,68.0,-20.41,57.7,82.0,40,6.93
47,portland,54.43,45.52,-122.67,93.0,90,2.57
48,vao,39.59,59.1,26.19,97.0,76,4.14
49,antofagasta,59.0,-23.65,-70.4,82.0,90,11.41
51,nan,76.13,18.78,100.78,88.0,68,1.57
52,pangody,36.84,65.85,74.49,87.0,88,15.21
53,pevek,35.18,69.7,170.27,100.0,92,9.28
54,riyadh,80.6,24.63,46.72,26.0,0,4.7
55,la sarre,34.1,48.8,-79.2,100.0,0,6.6
57,choszczno,39.2,53.17,15.42,93.0,20,1.12
58,trelew,67.13,-43.25,-65.31,31.0,92,12.41
59,salalah,73.4,17.01,54.1,40.0,0,3.36
60,kulhudhuffushi,78.11,6.62,73.07,100.0,92,11.07
61,muisne,73.61,0.61,-80.02,90.0,80,5.26
63,port alfred,68.52,-33.59,26.89,90.0,0,17.67
64,nelson bay,68.0,-32.72,152.14,64.0,75,11.41
65,sur,85.04,22.57,59.53,86.0,0,3.36
66,atuona,79.14,-9.8,-139.03,100.0,92,10.63
68,tiksi,19.79,71.64,128.87,93.0,12,3.24
69,bredasdorp,66.2,-34.53,20.04,82.0,76,9.17
70,avera,82.15,33.19,-82.53,65.0,40,4.7
71,tulum,80.6,20.21,-87.46,83.0,90,9.17
72,boras,43.63,57.72,12.94,81.0,90,10.29
73,coahuayana,69.56,18.62,-100.35,95.0,44,2.57
74,hobart,57.2,-42.88,147.33,62.0,75,9.17
75,byron bay,73.4,-28.65,153.62,56.0,8,8.05
76,mar del plata,48.72,-46.43,-67.52,57.0,24,4.59
77,chuy,61.55,-33.69,-53.46,90.0,0,13.2
78,cabo san lucas,84.65,22.89,-109.91,69.0,5,16.11
79,olinda,77.0,-2.03,-79.75,73.0,75,12.75
80,shiraz,62.6,29.61,52.54,48.0,20,2.13
81,san cristobal,53.6,-0.39,-78.55,93.0,40,1.12
82,vestmanna,42.8,62.16,-7.17,75.0,68,14.99
83,tulun,23.03,54.56,100.58,85.0,0,4.14
84,sitka,64.43,37.17,-99.65,98.0,92,10.18
85,deep river,46.4,46.1,-77.49,75.0,90,6.93
86,lompoc,71.83,34.64,-120.46,38.0,1,11.41
87,mercedes,69.2,-33.25,-58.03,69.0,0,9.4
88,vyartsilya,33.47,62.18,30.69,85.0,88,6.26
89,katsuura,70.23,33.93,134.5,73.0,40,9.17
90,port hawkesbury,48.2,45.62,-61.36,87.0,90,6.93
91,faanui,77.7,-16.48,-151.75,100.0,76,9.95
92,cape town,62.6,-33.93,18.42,88.0,0,4.7
93,geraldton,37.4,49.72,-86.95,69.0,75,4.7
95,glenwood springs,52.56,39.55,-107.33,93.0,75,6.93
96,westport,55.7,53.8,-9.52,96.0,92,25.72
97,stantsionno-oyashinskiy,42.92,55.47,83.82,88.0,44,12.86
98,vaini,69.24,15.34,74.49,90.0,24,2.57
99,rikitea,68.84,-23.12,-134.97,100.0,92,8.16
100,bria,66.59,6.54,21.99,96.0,80,2.8
101,jiwani,76.62,25.05,61.74,79.0,0,7.61
102,torbay,44.6,47.66,-52.73,70.0,90,9.17
103,qaanaaq,18.57,77.48,-69.36,100.0,0,15.43
104,alta,35.6,69.97,23.27,69.0,20,20.8
105,peruibe,71.54,-24.32,-47.0,100.0,88,16.67
107,ribeira grande,71.27,38.52,-28.7,100.0,92,16.67
108,atar,80.72,20.52,-13.05,28.0,0,6.15
109,yunhe,61.1,28.12,119.57,75.0,0,2.46
111,butaritari,83.78,3.07,172.79,100.0,36,7.38
112,souillac,54.41,45.6,-0.6,93.0,40,8.05
113,nouadhibou,82.4,20.93,-17.03,48.0,0,16.11
114,pangai,78.8,-19.8,-174.35,88.0,75,5.82
115,bambous virieux,68.0,-20.34,57.76,82.0,40,6.93
116,narsaq,28.4,60.91,-46.05,54.0,20,8.05
117,zhezkazgan,27.84,47.8,67.71,74.0,0,5.7
118,hithadhoo,80.99,-0.6,73.08,100.0,88,14.76
119,yellowknife,32.0,62.45,-114.38,100.0,20,5.82
120,tasiilaq,35.6,65.61,-37.64,64.0,92,8.05
121,yankton,46.4,42.87,-97.4,93.0,90,5.82
122,atambua,78.42,-9.11,124.89,97.0,0,4.36
123,marfino,55.4,56.07,37.56,82.0,40,13.42
125,nome,82.65,30.04,-94.42,68.0,1,6.93
126,airai,77.03,-8.93,125.41,52.0,0,2.46
127,lebu,62.6,8.96,38.73,39.0,75,3.36
128,arraial do cabo,70.55,-22.97,-42.02,100.0,92,20.8
129,barrow,74.69,-38.31,-60.23,36.0,56,16.22
130,ostrovnoy,24.2,68.05,39.51,86.0,0,11.74
131,kaitangata,52.01,-46.28,169.85,67.0,0,15.66
132,mehamn,38.96,71.03,27.85,100.0,92,15.99
134,port macquarie,68.0,-31.43,152.91,64.0,0,5.82
135,norman wells,33.8,65.28,-126.83,55.0,40,20.8
136,laguna,87.8,27.52,-110.01,27.0,20,9.17
137,saquarema,73.4,-22.93,-42.51,83.0,75,4.7
